id,Month,Year,AveragePrice,Unit
1,january,2017,5.85,baht
2,february,2017,6.21,baht
3,march,2017,5.48,baht
4,april,2017,4.88,baht
5,may,2017,4.78,baht
6,june,2017,4.35,baht
7,july,2017,4.23,baht
8,august,2017,4.10,baht
9,september,2017,4.17,baht
10,october,2017,4.06,baht
11,november,2017,4.00,baht
12,december,2017,3.38,baht
13,january,2018,3.39,baht
14,february,2018,4.02,baht
15,march,2018,3.67,baht
16,april,2018,3.16,baht
17,may,2018,3.58,baht
18,june,2018,4.43,baht
19,july,2018,3.97,baht
20,august,2018,3.52,baht
21,september,2018,3.38,baht
22,october,2018,3.17,baht
23,november,2018,2.90,baht
24,december,2018,2.91,baht
25,january,2019,2.88,baht
26,february,2019,2.92,baht
27,march,2019,2.38,baht
28,april,2019,2.26,baht
29,may,2019,2.32,baht
30,june,2019,3.28,baht
31,july,2019,3.14,baht
32,august,2019,2.81,baht
33,september,2019,2.83,baht
34,october,2019,3.20,baht
35,november,2019,4.09,baht
36,december,2019,5.24,baht
37,january,2020,7.02,baht
38,february,2020,5.73,baht
39,march,2020,4.58,baht
40,april,2020,3.22,baht
41,may,2020,3.09,baht
42,june,2020,3.24,baht
43,july,2020,3.35,baht
44,august,2020,3.69,baht
45,september,2020,4.39,baht
46,october,2020,5.41,baht
47,november,2020,6.90,baht
48,december,2020,7.03,baht
49,january,2021,6.86,baht
50,february,2021,6.82,baht
51,march,2021,5.83,baht
52,april,2021,5.06,baht
53,may,2021,5.69,baht
54,june,2021,6.00,baht
55,july,2021,6.58,baht
56,august,2021,6.95,baht
57,september,2021,7.52,baht
58,october,2021,8.57,baht
59,november,2021,8.77,baht
60,december,2021,9.07,baht
61,january,2022,10.59,baht
62,february,2022,8.57,baht
63,march,2022,9.80,baht
64,april,2022,10.39,baht
65,may,2022,10.20,baht
66,june,2022,9.42,baht
67,july,2022,7.17,baht
68,august,2022,6.53,baht
69,september,2022,5.52,baht
70,october,2022,5.56,baht
71,november,2022,6.26,baht
72,december,2022,5.17,baht
73,january,2023,4.99,baht
74,february,2023,5.25,baht
75,march,2023,6.00,baht
76,april,2023,6.13,baht
77,may,2023,5.68,baht
78,june,2023,5.57,baht
79,july,2023,5.97,baht
80,august,2023,5.67,baht
81,september,2023,5.36,baht
82,october,2023,5.78,baht
83,november,2023,6.15,baht
84,december,2023,5.50,baht
